0.217723,0.328350,0.448338,0.034961,-0.203443,0.133042,0.011855,-0.234431,-0.378922,-0.076682,-0.172034,-0.058050
0.200922,0.330833,0.371805,0.234967,-0.381748,-0.235040,-0.190476,-0.108261,-0.427660,-0.066627,-0.292674,-0.037593
0.149385,0.259705,0.262734,0.238837,0.009713,-0.271228,-0.415880,0.115566,-0.310418,0.232736,-0.057868,-0.001389
0.174986,0.235523,0.262829,0.165856,0.137313,-0.069818,-0.561984,-0.065607,0.005360,0.051386,0.023115,0.064698
1.121849,1.646616,1.465943,1.713558,1.486894,1.050276,-0.032289,0.270192,0.216987,0.105334,0.126699,0.035533
2.382232,2.012540,2.105827,1.708048,1.338959,1.043164,1.224903,0.869359,0.580632,0.451821,0.300466,0.042953
2.666029,2.171144,1.931859,1.680189,1.563359,1.260625,1.032291,0.778289,0.647198,0.418067,0.184037,0.028913
2.972081,2.651554,2.366341,2.406635,2.081037,1.612312,1.355687,1.070896,0.721206,0.448215,0.197567,0.067162
2.690108,2.171866,1.922041,1.692766,1.482341,1.275094,1.040559,0.816659,0.604905,0.420114,0.239839,0.024730
2.764944,2.295350,2.077004,1.878273,1.667789,1.440858,1.171517,0.951220,0.684893,0.450546,0.254235,0.032741
2.914917,2.512836,2.330414,2.127006,1.906827,1.639716,1.307964,0.986756,0.705341,0.477308,0.262182,0.050838
3.232007,2.902636,2.766806,2.607364,2.428217,2.121352,1.752562,1.264160,0.843506,0.458374,0.174705,0.074995
3.295555,2.999981,2.858782,2.709098,2.425249,2.072124,1.595444,1.230990,0.825688,0.468155,0.177539,0.072062
2.799631,2.365604,2.178807,1.982979,1.772593,1.544547,1.266555,0.981037,0.701825,0.474183,0.268717,0.046154
2.879304,2.454159,2.252652,2.037900,1.765314,1.465436,1.148670,0.896941,0.668015,0.473157,0.291184,0.048569
3.023422,2.662989,2.510189,2.305212,2.007218,1.643554,1.275802,0.942616,0.670212,0.440731,0.257858,0.054941
